Year;Country;Region;Continent;Leap Year;Region-Geo;ChildrenPerWoman;CO2Emissions;DemocracyScore;IncomePerPerson;Incomeshareofpoorest10pct;Incomeshareofrichest10pct;Infantmortality;Inflation;Internetusers;LifeExpectancy;Literacyrateadulttotal;Literacyrateyouthtotal;Longtermunemploymentrate;Medianage;MedicalDoctors;Murder;Murderedmen;Murderedwomen;Número de registros;Oilconsumptionperperson;Populationdensity;Populationgrowth;Populationtotal;Poverty;Ratioofgirlstoboysinprimaryandsecondaryeducation;Renewablewater;Residentialelectricityuseperperson;Suicideage15to29;Taxrevenue;Teenfertilityrate;TotalGDPUS;TotalhealthspendingperpersonUS;Tradebalance;Trafficdeaths;Urbanpopulationgrowth;UrbanpopulationTotal;YearlyCO2emission
1952;Albania;Europe & Central Asia;Europe;[1952];Europe - Southern;6,071;0,294650131;-9;4803,168409;;;;;;54,876;;;;;;;;;1;;44,153;;1269302;;;;;;;;;;;;;;374
1952;Armenia;Europe & Central Asia;Asia;[1952];Asia - Western;4,492;;-9;4217,465954;;;;;;62,602;;;;;;;;;1;;47,648;;1419913;;;;;;;;;;;;;;
1952;Austria;Europe & Central Asia;Europe;[1952];Europe - Western;2,061;3,188072669;10;18411,22948;;;52;;;66,8;;;;;;;;;1;;82,633;;6929474;;;;;;;33,56;;;;;;;22091,66667
1952;Azerbaijan;Europe & Central Asia;Asia;[1952];Asia - Western;5,505;;-9;4322,023901;;;;;;57,754;;;;;;;;;1;;35,158;;3044695;;;;;;;;;;;;;;
1952;Belarus;Europe & Central Asia;Europe;[1952];Europe - Eastern;2,595;;-9;4831,544286;;;;;;65,692;;;;;;;;;1;;37,143;;7710974;;;;;;;;;;;;;;
1952;Belgium;Europe & Central Asia;Europe;[1952];Europe - Western;2,327;9,591278818;10;16686,21025;;;45;;;68;;;;;;;;;1;;285,316;;8710135;;;;;;;;;;;;;;83541,33333
1952;Bosnia and Herzegovina;Europe & Central Asia;Europe;[1952];Europe - Southern;4,875;;-7;1947,06639;;;;;;53,165;;;;;;;;;1;;54,283;;2779107;;;;;;;;;;;;;;
1952;Bulgaria;Europe & Central Asia;Europe;[1952];Europe - Eastern;2,552;1,288567777;-7;4888,573296;;;98;;;59,6;;;;;;;;;1;;66,038;;7324411;;;;;;;51,974;;;;;;;9438
1952;Channel Islands;Europe & Central Asia;Europe;[1952];Europe - Northern;2,042;;;;;;;;;69,09;;;;;;;;;1;;531,354;;103614;;;;;;;;;;;;;;
1952;Croatia;Europe & Central Asia;Europe;[1952];Europe - Southern;2,797;;-7;6238,47304;;;;;;61,024;;;;;;;;;1;;68,993;;3900723;;;;;;;;;;;;;;
1952;Cyprus;Europe & Central Asia;Asia;[1952];Asia - Western;3,727;0,622415921;;6310,882375;;;;;;66,518;;;;;;;;;1;;54,765;;506628;;;;;;;;;;;;;;315,3333333
1952;Czech Republic;Europe & Central Asia;Europe;[1952];Europe - Eastern;2,711;;-7;13752,2805;;;;;;66,87;;;;;;;;;1;;;;9036508;;;;;;;48,078;;;;;;;
1952;Denmark;Europe & Central Asia;Europe;[1952];Europe - Northern;2,535;5,275271816;10;18071,33163;;;27,9;;;70,78;;;;;;0,8512123;0,8936507;0,8058109;1;;100,823;;4344863;;;;;13,66763;;40,9;;;;10,01406;;;22920,33333
1952;Estonia;Europe & Central Asia;Europe;[1952];Europe - Northern;2,068;;-9;8057,970808;;;;;;65,085;;;;;;;;;1;;24,973;;1126280;;;;;;;;;;;;;;
1952;Finland;Europe & Central Asia;Europe;[1952];Europe - Northern;3,06;2,115782715;10;12849,03814;;;33;;;66,55;;;;;;3,38622;4,635422;2,250678;1;;12,11;;4095096;;;;;17,31728;;;;;;7,923275;;;8664,333333
1952;France;Europe & Central Asia;Europe;[1952];Europe - Western;2,756;5,367171177;10;15101,81735;;;41,3;;;67,41;;;;;;0,5889392;0,7449698;0,4544466;1;;76,752;;42328940;;;;;5,491698;;22,26;;;;9,060669;;;227186,6667
1952;Georgia;Europe & Central Asia;Asia;[1952];Asia - Western;3,011;;-9;3479,868593;;;;;;60,445;;;;;;;;;1;;52,316;;3646426;;;;;;;;;;;;;;
1952;Germany;Europe & Central Asia;Europe;[1952];Europe - Western;2,111;8,851021079;10;14288,22879;;;;;;67,332;;;;;;;;;1;;193,508;;69086530;;;;;;;;;;;;;;611486,3333
1952;Greece;Europe & Central Asia;Europe;[1952];Europe - Southern;2,291;0,621713542;4;6538,624264;;;48;;;65,617;;;;;;;;;1;;58,549;;7725959;;;;;;;;;;;;;;4803,333333
1952;Hungary;Europe & Central Asia;Europe;[1952];Europe - Eastern;2,722;2,838211258;-7;10527,34763;;;70;;;64,03;;;;;;;;;1;;103,135;;9594893;;;;;;;47,56;;;;;;;27232,33333
1952;Iceland;Europe & Central Asia;Europe;[1952];Europe - Northern;3,822;5,250691236;;14535,37686;;;22,9;;;72,49;;;;;;;;;1;;1,437;;148044;;;;;;;61;;;;;;;777,3333333
1952;Ireland;Europe & Central Asia;Europe;[1952];Europe - Northern;3,409;3,2932367;10;10420,56066;;;42,1;;;67,2;;;;;;0,2670122;0,3428863;0,1927575;1;;41,606;;2923770;;;;;0,7878578;;;;;;5,85982;;;9628,666667
1952;Italy;Europe & Central Asia;Europe;[1952];Europe - Southern;2,366;1,074464868;10;9862,808311;;;61;;;65,94;;;;;;1,448375;2,164018;0,781904;1;;156,551;;47171699;;;;;4,781938;;;;;;10,84834;;;50684,33333
1952;Kazakhstan;Europe & Central Asia;Asia;[1952];Asia - Central;4,385;;-9;7021,849046;;;;;;54,859;;;;;;;;;1;;2,584;;7041605;;;;;;;;;;;;;;
1952;Kyrgyzstan;Europe & Central Asia;Asia;[1952];Asia - Central;4,479;;-9;3520,150234;;;;;;52,598;;;;;;;;;1;;;;1791952;;;;;;;;;;;;;;
1952;Latvia;Europe & Central Asia;Europe;[1952];Europe - Northern;2,004;;-9;6198,819828;;;;;;61,852;;;;;;;;;1;;30,422;;1965231;;;;;;;;;;;;;;
1952;Lithuania;Europe & Central Asia;Europe;[1952];Europe - Northern;2,712;;-9;11169,7845;;;;;;64,492;;;;;;;;;1;;39,48;;2578052;;;;;;;;;;;;;;
1952;Luxembourg;Europe & Central Asia;Europe;[1952];Europe - Western;1,953;31,46079939;;28652,27559;;;;;;65,761;;;;;;;;;1;;115,646;;299060;;;;;;;;;;;;;;9408,666667
1952;Malta;Europe & Central Asia;Europe;[1952];Europe - Southern;4,163;0,771895354;;4281,065628;;;;;;65,738;;;;;;;;;1;;992,133;;313514;;;;;;;;;;;;;;242
1952;Montenegro;Europe & Central Asia;Europe;[1952];Europe - Southern;4,052;;-7;5295,171203;;;;;;59,556;;;;;;;;;1;;29,479;;407165;;;;;;;;;;;;;;
1952;Netherlands;Europe & Central Asia;Europe;[1952];Europe - Western;3,09;5,328775876;10;15128,3374;;;22,7;;;72,13;;;;;;0,3440608;0,4674892;0,2280897;1;;247,445;;10275906;;;;;2,707686;;14,0625;;;;9,270905;;;54758
1952;Norway;Europe & Central Asia;Europe;[1952];Europe - Northern;2,61;2,909334187;10;9126,134151;;;23,7;;;72,67;;;;;;0,3396994;0,3552376;0,3447149;1;;8,652;;3332263;;;;;4,094621;;;;;;5,542277;;;9694,666667
1952;Poland;Europe & Central Asia;Europe;[1952];Europe - Eastern;3,648;4,944051463;-7;4029,329699;;;95;;;60,828;;;;;;;;;1;;80,183;;25919296;;;;;;;;;;;;;;128146,3333
1952;Portugal;Europe & Central Asia;Europe;[1952];Europe - Southern;3,097;0,632069038;-9;3068,319867;;;94;;;59,82;;;;;;;;;1;;92,141;;8475340;;;;;;;23,344;;;;;;;5357
1952;Romania;Europe & Central Asia;Europe;[1952];Europe - Eastern;3,342195702;1,58135722;-7;3144,613186;;;105;;;60,962;;;;;;;;;1;;70,711;;16856828;;;;;;;;;;;;;;26656,66667
1952;Russian Federation;Europe & Central Asia;Europe;[1952];Europe - Eastern;2,848;;-9;5180,700203;;;;;;64,243;;;;;;;;;1;;6,205;;105950299;;;;;;;15,4;;;;;;;
1952;Serbia;Europe & Central Asia;Europe;[1952];Europe - Southern;3,272;;-7;3581,459448;;;;;;58,873;;;;;;;;;1;;78,567;;6942216;;;;;;;;;;;;;;
1952;Slovak Republic;Europe & Central Asia;Europe;[1952];Europe - Eastern;3,527;;-7;5074,659104;;;;;;64,36;;;;;;;;;1;;72,565;;3558070;;;;;;;52,504;;;;;;;
1952;Slovenia;Europe & Central Asia;Europe;[1952];Europe - Southern;2,61;;-7;4215,041741;;;;;;65,322;;;;;;;;;1;;73,937;;1497673;;;;;;;;;;;;;;
1952;Spain;Europe & Central Asia;Europe;[1952];Europe - Southern;2,512;1,324117347;-7;3834,034742;;;72,8;;;64,94;;;;;;0,4399333;0,6237528;0,2694265;1;;56,183;;28427994;;;;;4,592174;;7,978;;;;3,305992;;;37642
1952;Sweden;Europe & Central Asia;Europe;[1952];Europe - Northern;2,238;4,847009031;10;9731,445092;;;20;;;71,86;;;;;;0,6711559;0,7865052;0,548695;1;;15,844;;7129070;;;;;8,613336;;;;;;10,9824;;;34554,66667
1952;Switzerland;Europe & Central Asia;Europe;[1952];Europe - Western;2,303;2,346719343;10;14734,23275;;;29,1;;;69,62;;;;;;1,182642;1,37386;1,038882;1;;116;;4788955;;;;;16,58536;;12,374;;;;15,1943;;;11238,33333
1952;Tajikistan;Europe & Central Asia;Asia;[1952];Asia - Central;5,973;;-9;2265,293455;;;;;;52,834;;;;;;;;;1;;11,365;;1626400;;;;;;;;;;;;;;
1952;Turkey;Europe & Central Asia;Asia;[1952];Asia - Western;6,636;0,465517015;7;2376,314083;;;167,14;;;40,758;;;;;;;;;1;;28,739;;22519048;;;;;;;;;;;;;;10483
1952;Turkmenistan;Europe & Central Asia;Asia;[1952];Asia - Central;6,004;;-9;3309,857704;;;;;;51,073;;;;;;;;;1;;2,566;;1252660;;;;;;;;;;;;;;
1952;Ukraine;Europe & Central Asia;Europe;[1952];Europe - Eastern;2,814;;-9;3216,562643;;;;;;65,579;;;;;;;;;1;;63,625;;38410561;;;;;;;;;;;;;;
1952;United Kingdom;Europe & Central Asia;Europe;[1952];Europe - Western;2,148;10,42878309;10;9979,508487;;;29;;;69,6;;;;;;0,4559619;0,4878557;0,4236856;1;;208,756;;50706811;;;;;3,326596;;21,3;;;;9,171255;;;528810,3333
1952;Uzbekistan;Europe & Central Asia;Asia;[1952];Asia - Central;5,912;;-9;1187,740041;;;;;;55,548;;;;;;;;;1;;14,828;;6633911;;;;;;;;;;;;;;
1956;Albania;Europe & Central Asia;Europe;[1956];Europe - Southern;6,398;0,590725077;-9;5475,907462;;;;;;57,947;;;;;;;;;1;;49,444;;1421417;;;;;;;;;;;;;;839,6666667
1956;Armenia;Europe & Central Asia;Asia;[1956];Asia - Western;4,506;;-7;5076,045308;;;;;;64,285;;;;;;;;;1;;54,337;;1619242;;;;;;;;;;;;;;
1956;Austria;Europe & Central Asia;Europe;[1956];Europe - Western;2,486;4,059629292;10;25045,34839;;;45,1;;;67,72;;;;;;1,57829;1,816526;1,404069;1;;82,934;;6954658;;;;;16,79345;;39,398;;;;20,89838;;;28233,33333
1956;Azerbaijan;Europe & Central Asia;Asia;[1956];Asia - Western;5,403;;-7;5229,074915;;;;;;59,394;;;;;;;;;1;;39,602;;3429548;;;;;;;;;;;;;;
1956;Belarus;Europe & Central Asia;Europe;[1956];Europe - Eastern;2,716;;-7;5852,267174;;;;;;67,357;;;;;;;;;1;;37,888;;7865511;;;;;;;;;;;;;;
1956;Belgium;Europe & Central Asia;Europe;[1956];Europe - Western;2,454;10,85688262;10;19058,80719;;;37,4;;;68,87;;;;;;0,6680127;0,7098725;0,6383194;1;;292,27;;8922420;;;;;5,566011;;;;;;12,3326;;;96869,66667
1956;Bosnia and Herzegovina;Europe & Central Asia;Europe;[1956];Europe - Southern;4,434;;-7;2341,515806;;;;;;57,2;;;;;;;;;1;;58,484;;2994194;;;;;;;;;;;;;;
1956;Bulgaria;Europe & Central Asia;Europe;[1956];Europe - Eastern;2,346;1,714900783;-7;5494,755859;;;72;;;65,21;;;;;;;;;1;;68,243;;7568951;;;;;;;59,746;;;;;;;12980
1956;Channel Islands;Europe & Central Asia;Europe;[1956];Europe - Northern;2,156;;;;;;;;;70,19;;;;;;;;;1;;544,749;;106226;;;;;;;;;;;;;;
1956;Croatia;Europe & Central Asia;Europe;[1956];Europe - Southern;2,498;;-7;7502,303621;;;;;;62,97;;;;;;;;;1;;70,472;;3984346;;;;;;;;;;;;;;
1956;Cyprus;Europe & Central Asia;Asia;[1956];Asia - Western;3,546;1,250318139;;7365,209227;;;;;;68,18;;;;;;;;;1;;58,328;;539596;;;;;;;;;;;;;;674,6666667
1956;Czech Republic;Europe & Central Asia;Europe;[1956];Europe - Eastern;2,446;;-7;15711,16251;;;;;;69,37;;;;;;;;;1;;;;9317119;;;;;;;48,188;;;;;;;
1956;Denmark;Europe & Central Asia;Europe;[1956];Europe - Northern;2,59;5,909778579;10;19430,24665;;;24;;;72,05;;;;;;0,9908164;0,7761117;1,199798;1;;103,647;;4466552;;;;;13,48075;;42,2;;;;14,08508;;;26396,33333
1956;Estonia;Europe & Central Asia;Europe;[1956];Europe - Northern;2,007;;-7;9785,792263;;;;;;67,039;;;;;;;;;1;;25,954;;1170514;;;;;;;;;;;;;;
1956;Finland;Europe & Central Asia;Europe;[1956];Europe - Northern;2,91;2,846813513;10;14555,56832;;;27,8;;;67,99;;;;;;2,702468;4,270874;1,329049;1;;12,653;;4278702;;;;;17,10546;;;;;;12,04234;;;12180,66667
1956;France;Europe & Central Asia;Europe;[1956];Europe - Western;2,685;6,13123332;10;17572,61577;;;31,1;;;68,5;;;;;;0,8094457;1,121676;0,5000935;1;;79,477;;43831475;;;;;5,989944;;21,5;;;;18,48939;;;268741
1956;Georgia;Europe & Central Asia;Asia;[1956];Asia - Western;2,919;;-7;4199,779512;;;;;;62,046;;;;;;;;;1;;56,006;;3903604;;;;;;;;;;;;;;
1956;Germany;Europe & Central Asia;Europe;[1956];Europe - Western;2,247;10,83537908;10;19385,21687;;;;;;68,678;;;;;;;;;1;;198,221;;70769436;;;;;;;29,63;;;;;;;766813,6667
1956;Greece;Europe & Central Asia;Europe;[1956];Europe - Southern;2,281;0,782381208;4;8667,28374;;;50,2;;;66,655;;;;;;;;;1;;60,98;;8046802;;;;;;;;;;;;;;6295,666667
1956;Hungary;Europe & Central Asia;Europe;[1956];Europe - Eastern;2,434;3,363242862;-7;11075,44475;;;64,4;;;66,04;;;;;;2,298501;3,378611;1,291587;1;;106,078;;9868650;;;;;15,922;;55,526;;;;7,775088;;;33190,66667
1956;Iceland;Europe & Central Asia;Europe;[1956];Europe - Northern;4,146;5,876759263;;18978,0482;;;19,4;;;72,98;;;;;;;;;1;;1,569;;161597;;;;;;;86,7;;;;;;;949,6666667
